name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
DF-9 (ETCO),281,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,9 (ETCO) Secundária,Nobre,51,249,249,249,0.2048,5300108,24,2.125,"-47.8864179280138,-15.7771380206151,0 -47.886375951154,-15.7778141208441,0 -47.88602820246639,-15.7777928467293,0 -47.8859697297323,-15.7785844655033,0 -47.8848980602403,-15.7785210372238,0 -47.8848133474607,-15.7801358742444,0 -47.8844891354459,-15.7801177794347,0 -47.8844745458839,-15.7804307546488,0 -47.8841680727161,-15.7804170896215,0 -47.8844087466755,-15.7769831791515,0 -47.8864179280138,-15.7771380206151,0",ATIVAS,Sem restrição de Venda
DF-38 (ETCO),280,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,38 (ETCO) Secundária,Nobre,113,532,532,532,0.2124,5300108,33,3.424242424,"-47.8904105073414,-15.8085127951843,0 -47.8901080882722,-15.8093687551335,0 -47.8888937181378,-15.8103293212343,0 -47.88827144564709,-15.8096584337049,0 -47.88812928856971,-15.8097896943089,0 -47.88685926260159,-15.8083625914752,0 -47.8889084702883,-15.8066258611379,0 -47.8901825195728,-15.8080789478739,0 -47.8904105073414,-15.8085127951843,0",ATIVAS,Sem restrição de Venda
DF-46 (ETCO),280,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,46 (ETCO) Secundária,Nobre,140,583,583,583,0.2401,5300108,36,3.888888889,"-47.8981124705271,-15.8062282237254,0 -47.89429535182289,-15.8020600709161,0 -47.8939074373441,-15.8023799243412,0 -47.8934910243946,-15.8019239488085,0 -47.893920177837,-15.8015779438452,0 -47.8932100630004,-15.8006867798999,0 -47.8925106769999,-15.799791592641,0 -47.89302163781681,-15.7994388821562,0 -47.8942205852466,-15.8009804817876,0 -47.8955053633649,-15.8025086703739,0 -47.89855235280619,-15.8058171751939,0 -47.8989292031729,-15.8062101188136,0 -47.8985111138424,-15.8066164734799,0 -47.8981124705271,-15.8062282237254,0",ATIVAS,Sem restrição de Venda
DF-15 (ETCO),279,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,15 (ETCO) Secundária,Nobre,129,559,509,509,0.2308,5300108,34,3.794117647,"-47.8953399509493,-15.805366784336,0 -47.8942831605978,-15.8062385022655,0 -47.891927160344,-15.8036563777409,0 -47.89371738092369,-15.802190461056,0 -47.8939069807828,-15.8024042844793,0 -47.8942918777766,-15.8020824193967,0 -47.8952752426566,-15.8031606674211,0 -47.8964477032722,-15.8044575154802,0 -47.8953399509493,-15.805366784336,0",ATIVAS,Sem restrição de Venda
DF-36 (ETCO),279,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,36 (ETCO) Secundária,Nobre,120,476,476,476,0.2521,5300108,29,4.137931034,"-47.892505312582,-15.7997996392589,0 -47.89301191481,-15.800446722184,0 -47.8934610171821,-15.8010143446669,0 -47.8939101195542,-15.8015766027317,0 -47.8934770438104,-15.8019248685251,0 -47.89371632995249,-15.8021787586559,0 -47.891919249913,-15.803655314718,0 -47.890202636143,-15.801294970785,0 -47.892505312582,-15.7997996392589,0",ATIVAS,Sem restrição de Venda
DF-45 (ETCO),278,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,45 (ETCO) Secundária,Nobre,120,492,442,366,0.2439,5300108,30,4,"-47.8980268538107,-15.807091444713,0 -47.89780288935809,-15.8068500459016,0 -47.8968875855319,-15.8077110349956,0 -47.896033972513,-15.8085237443274,0 -47.894614064142,-15.807031806936,0 -47.89481356741099,-15.8068487047979,0 -47.8942901210512,-15.8062500853934,0 -47.89645776153721,-15.8044642209831,0 -47.8980744630213,-15.8062197267839,0 -47.898505292844,-15.8066287636583,0 -47.8980268538107,-15.807091444713,0",ATIVAS,Sem restrição de Venda
DF-86 (ETCO),277,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,86 (ETCO) Secundária,Nobre,128,549,509,509,0.2332,5300108,34,3.764705882,"-47.90442566822509,-15.8117592085267,0 -47.9045249099586,-15.8118383336925,0 -47.9046784664247,-15.8119536686802,0 -47.90502514193991,-15.8122057963276,0 -47.905302750573,-15.8124062914513,0 -47.9049071247433,-15.812942062702,0 -47.9043867761946,-15.8125746000669,0 -47.9030738348819,-15.8143106598516,0 -47.9019352371552,-15.8134771634002,0 -47.9011775131086,-15.8128991473574,0 -47.9008060271601,-15.8126081276792,0 -47.9011869008402,-15.8121897030729,0 -47.9013679499487,-15.8119711030382,0 -47.9015557045798,-15.8117551852126,0 -47.9018614764074,-15.8113904047865,0 -47.9022088224749,-15.8109478402991,0 -47.902423399196,-15.8111329127212,0 -47.9028968090873,-15.8105709899327,0 -47.9036659325219,-15.8111684519909,0 -47.90442566822509,-15.8117592085267,0",ATIVAS,Sem restrição de Venda
DF-91 (ETCO),277,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,91 (ETCO) Secundária,Nobre,187,694,694,694,0.2695,5300108,43,4.348837209,"-47.9017903978408,-15.8218563843446,0 -47.90428082891079,-15.8236648637723,0 -47.9025347108421,-15.8260942745874,0 -47.8999638135017,-15.8242328215319,0 -47.9004627043784,-15.8235971379953,0 -47.9017903978408,-15.8218563843446,0",ATIVAS,Sem restrição de Venda
DF-96 (ETCO),277,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,96 (ETCO) Secundária,Nobre,123,496,496,496,0.248,5300108,30,4.1,"-47.8990456495092,-15.8199357927982,0 -47.9005395561115,-15.8209840336089,0 -47.90065480728011,-15.8208306447808,0 -47.9013788360761,-15.8213553519194,0 -47.9012712124394,-15.8214874507135,0 -47.9017855260182,-15.8218508900351,0 -47.9004041883758,-15.8236560167017,0 -47.89996028278379,-15.8242286683266,0 -47.8996960851957,-15.8240342081732,0 -47.8986151549625,-15.8232469798275,0 -47.8972529280589,-15.8222833962391,0 -47.89807200763679,-15.8211937488265,0 -47.8990456495092,-15.8199357927982,0",ATIVAS,Sem restrição de Venda
DF-104 (ETCO),276,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,104 (ETCO) Secundária,Nobre,150,613,613,594,0.2447,5300108,38,3.947368421,"-47.8915805692257,-15.8176701266095,0 -47.8910018826307,-15.8171487722323,0 -47.8904124671997,-15.8165865141676,0 -47.8897865066709,-15.8159739646839,0 -47.889159151341,-15.8153613615855,0 -47.88972118135941,-15.8147948521599,0 -47.8895166093886,-15.8145782101679,0 -47.8902260536733,-15.8139331388999,0 -47.8910930777376,-15.8131264645388,0 -47.89217945620759,-15.8141690894743,0 -47.8926083581929,-15.8145948063363,0 -47.8929488310998,-15.8149285737207,0 -47.89356808610611,-15.815547828727,0 -47.8915805692257,-15.8176701266095,0",ATIVAS,Sem restrição de Venda
