name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
MS-86 (DOCE),216,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,86 (DOCE) Secundária,Suburbio,79,280,280,280,0.2821,5003702,70,1.128571429,"-54.7438490390793,-22.2369834780682,0 -54.74409881979379,-22.2372426465142,0 -54.742487147452,-22.2387624531972,0 -54.74153295159491,-22.2394873201834,0 -54.74113732576511,-22.2398051619515,0 -54.7398042678845,-22.2408834099752,0 -54.7379884123818,-22.2389227151855,0 -54.73578765988529,-22.2364242374882,0 -54.7371488809605,-22.2351434826837,0 -54.7369423508663,-22.234877943991,0 -54.7380246222037,-22.2338868677598,0 -54.7376913577336,-22.2327154129725,0 -54.7381842136401,-22.2323325276355,0 -54.7396326065083,-22.2336199879636,0 -54.7390908002871,-22.2340410947789,0 -54.7379454970377,-22.2349704802025,0 -54.73863348364991,-22.2356926649798,0 -54.7377490252272,-22.2363702580321,0 -54.7407078370468,-22.23953610286,0 -54.7438490390793,-22.2369834780682,0",ATIVAS,Sem restrição de Venda,MS-86 (DOCE) Secundária
MS-238 (DOCE),213,MS,DOURADOS,DOS,DOCE,PRATA,Sem Restrição de Vendas,238 (DOCE) Secundária,Suburbio,84,222,222,222,0.3784,5003702,50,1.68,"-54.78745054143779,-22.2374269322434,0 -54.7875336899169,-22.2379124120749,0 -54.78741835492901,-22.239101971774,0 -54.78726278680701,-22.240322376877,0 -54.78466640848401,-22.239995147379,0 -54.784851480907,-22.2388498441338,0 -54.7857339276743,-22.2383268133764,0 -54.7855897589396,-22.2378027767901,0 -54.7857433154056,-22.2377588556176,0 -54.7856910123296,-22.2375637249118,0 -54.7860470755765,-22.2374872819548,0 -54.78610935311711,-22.2375826680129,0 -54.78646130923119,-22.237509074903,0 -54.78651076246,-22.2373913929825,0 -54.78686984319199,-22.2373142794733,0 -54.7870073064041,-22.2373900518779,0 -54.78737543959161,-22.237369264758,0 -54.78745054143779,-22.2374269322434,0",ATIVAS,Sem restrição de Venda,MS-238 (DOCE) Secundária
MS-352 (DOCE),208,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,352 (DOCE) Secundária,Suburbio,68,262,262,246,0.2595,5003702,59,1.152542373,"-54.775352925094,-22.264419794132,0 -54.77544412019999,-22.264414429714,0 -54.77558091286011,-22.2636453062788,0 -54.77575726810301,-22.2636650875702,0 -54.77583304050779,-22.2632168233886,0 -54.7762072086655,-22.2632583976281,0 -54.776307791503,-22.262692451526,0 -54.776141494544,-22.262676358272,0 -54.776168316634,-22.262451052715,0 -54.77645263079,-22.262467145969,0 -54.776495546134,-22.262172102977,0 -54.776366800101,-22.262139916469,0 -54.776431173118,-22.261984348346,0 -54.77677986029,-22.260010242511,0 -54.776844233306,-22.25974202161,0 -54.77839991453489,-22.2599458694952,0 -54.7779774666149,-22.2630746663108,0 -54.7782383114416,-22.2631363571181,0 -54.7786051035244,-22.2632329166426,0 -54.7783710807878,-22.2650313377869,0 -54.7781067993807,-22.2650194354845,0 -54.7777325474041,-22.2649498656882,0 -54.7774508316385,-22.2649614327146,0 -54.77719463876801,-22.26492027757,0 -54.7768982127624,-22.2648523003353,0 -54.7766822111176,-22.2648571618392,0 -54.7763642855303,-22.2647949681177,0 -54.7760369722114,-22.2647629492475,0 -54.77579213681971,-22.2647376359,0 -54.7758048773125,-22.2646383941665,0 -54.775320738586,-22.264580726672,0 -54.775352925094,-22.264419794132,0",ATIVAS,Sem restrição de Venda,MS-352 (DOCE) Secundária
MS-333 (CPBA),195,MS,CAMPO GRANDE,CPE,CPBA,BRONZE,Sem Restrição de Vendas,333 (CPBA) Secundária,Suburbio,86,316,316,310,0.2722,5002704,53,1.622641509,"-54.64056521654099,-20.500792264886,0 -54.642572849986,-20.500255823083,0 -54.642629176376,-20.500242412038,0 -54.642626494167,-20.500234365411,0 -54.64291617274,-20.500094890542,0 -54.643584042785,-20.49993664021,0 -54.643594771621,-20.499974191136,0 -54.643981009719,-20.499872267194,0 -54.644096344707,-20.49982666964,0 -54.644241183994,-20.49977302546,0 -54.644517451522,-20.499668419308,0 -54.644750803707,-20.49961209292,0 -54.645193368195,-20.501022934862,0 -54.645499140023,-20.500945150801,0 -54.645688235758,-20.501508414694,0 -54.645394533872,-20.501579493232,0 -54.645387828349,-20.501555353351,0 -54.64086562395001,-20.502766370721,0 -54.640608131885,-20.501371622033,0 -54.64056521654099,-20.500792264886,0",ATIVAS,Sem restrição de Venda,MS-333 (CPBA) Secundária
MS-331 (CPBA),195,MS,CAMPO GRANDE,CPE,CPBA,BRONZE,Sem Restrição de Vendas,331 (CPBA) Secundária,Suburbio,54,284,284,284,0.1901,5002704,47,1.14893617,"-54.643960893144,-20.49986958503,0 -54.64359879492701,-20.499968826764,0 -54.643415063609,-20.499287545674,0 -54.643227308979,-20.498571395872,0 -54.64310124515401,-20.498092621564,0 -54.643082469691,-20.49802288413,0 -54.643077105273,-20.497990697622,0 -54.643786549558,-20.497792214155,0 -54.644544273604,-20.497576296332,0 -54.645450860251,-20.497371107345,0 -54.64587867258899,-20.497222244745,0 -54.646578729142,-20.49701169134,0 -54.646610915651,-20.497007668026,0 -54.646657854309,-20.497157871733,0 -54.64679598807299,-20.497117638597,0 -54.646816104641,-20.497113615284,0 -54.646958261719,-20.497619211683,0 -54.64705482124501,-20.498061776173,0 -54.647196978323,-20.498480200781,0 -54.647260010236,-20.49854189159,0 -54.64736327528401,-20.498903989807,0 -54.646958261722,-20.499011278167,0 -54.645827710625,-20.499327778832,0 -54.644502699374,-20.499667078274,0 -54.643962234256,-20.499869585056,0 -54.643960893144,-20.49986958503,0",ATIVAS,Sem restrição de Venda,MS-331 (CPBA) Secundária
MS-54 (CPCE),186,MS,CAMPO GRANDE,CPE,CPCE,PRATA,Sem Restrição de Vendas,54 (CPCE) Secundária,Suburbio,57,452,452,452,0.1261,5002704,68,0.838235294,"-54.62374180174359,-20.4375902483601,0 -54.6237267143179,-20.4375598220517,0 -54.62370223916061,-20.4375133024892,0 -54.6235349363732,-20.4371663755171,0 -54.6237458250571,-20.4371812114865,0 -54.62352320171,-20.4367413292064,0 -54.6232563219131,-20.4360560248032,0 -54.6227941437723,-20.4351532938316,0 -54.6224630062101,-20.4344749359305,0 -54.6225824797624,-20.4344081216848,0 -54.6225988035188,-20.4343978748082,0 -54.6226365849473,-20.4344452954254,0 -54.6239785066904,-20.433912269248,0 -54.6245803273381,-20.4336531008019,0 -54.6247135995986,-20.4339265184833,0 -54.6249327025474,-20.4338217446937,0 -54.6251502967538,-20.4337221676841,0 -54.6253745964827,-20.4336225906745,0 -54.6256404704514,-20.4334847921864,0 -54.625797714955,-20.4334234366553,0 -54.6263891420421,-20.4331914255756,0 -54.62687395132161,-20.4330152379708,0 -54.62688535071,-20.4330281461015,0 -54.6271066329538,-20.432974837197,0 -54.6275089643063,-20.4344145128851,0 -54.6265903077185,-20.4348061154016,0 -54.6268068960963,-20.4353941897279,0 -54.6270342133101,-20.4359755585317,0 -54.62680220223041,-20.4360908935196,0 -54.6264260224161,-20.4362739542851,0 -54.6262144631801,-20.4363755429516,0 -54.6259908340036,-20.4364871899021,0 -54.6258721462547,-20.4365461985006,0 -54.62575748181929,-20.4366011837855,0 -54.6251613608659,-20.4368942151209,0 -54.6245511583152,-20.4371905992175,0 -54.62374180174359,-20.4375902483601,0",ATIVAS,Sem restrição de Venda,MS-54 (CPCE) Secundária
MS-8 (CPBA),184,MS,CAMPO GRANDE,CPE,CPBA,BRONZE,Sem Restrição de Vendas,8 (CPBA) Secundária,Suburbio,64,301,301,301,0.2126,5002704,50,1.28,"-54.661627262853,-20.490965992205,0 -54.6605704725194,-20.4890267551133,0 -54.66388300064629,-20.4873906076129,0 -54.6644905209881,-20.4884567856935,0 -54.664558917316,-20.488427281392,0 -54.6650564670831,-20.4893566668105,0 -54.661627262853,-20.490965992205,0",ATIVAS,Sem restrição de Venda,MS-8 (CPBA) Secundária
MS-346 (CPBA),177,MS,CAMPO GRANDE,CPE,CPBA,BRONZE,Sem Restrição de Vendas,346 (CPBA) Secundária,Suburbio,91,397,397,397,0.2292,5002704,66,1.378787879,"-54.6670493483577,-20.5005991458773,0 -54.66595894657409,-20.5008850525944,0 -54.6662520617278,-20.5018591135616,0 -54.66569829034,-20.5020153522368,0 -54.6655991533804,-20.5016820877667,0 -54.6642934624137,-20.5020066350573,0 -54.6643354557487,-20.5021467804783,0 -54.66340560932029,-20.5024106427901,0 -54.6633568685534,-20.5022520571819,0 -54.6632272005113,-20.502288937556,0 -54.66300256550619,-20.5015064030762,0 -54.6628367714614,-20.5015501566109,0 -54.6627045050293,-20.5010467395065,0 -54.66266125440881,-20.5008713900924,0 -54.6624922752409,-20.5002062022565,0 -54.66285370290559,-20.5001242272436,0 -54.6628302335767,-20.4999805614231,0 -54.6632003784207,-20.4998943954585,0 -54.6636476367739,-20.4997867718217,0 -54.6637247502831,-20.5000345408795,0 -54.66387595981629,-20.5005139857408,0 -54.6640501357642,-20.5004707351205,0 -54.6640741080072,-20.5005589127418,0 -54.6668146550681,-20.4998226463671,0 -54.6670493483577,-20.5005991458773,0",ATIVAS,Sem restrição de Venda,MS-346 (CPBA) Secundária
MS-549 (CPBA),175,MS,CAMPO GRANDE,CPE,CPBA,BRONZE,Sem Restrição de Vendas,549 (CPBA) Secundária,Suburbio,116,419,419,419,0.2768,5002704,70,1.657142857,"-54.6322356164549,-20.4823064804206,0 -54.630480110655,-20.483838021768,0 -54.6297679841614,-20.483650267137,0 -54.629320725808,-20.4834544658787,0 -54.6289579570385,-20.4831929504995,0 -54.6285234391787,-20.4826484620694,0 -54.628345072275,-20.481917560114,0 -54.6282270550786,-20.48089295627,0 -54.6281707286894,-20.4803699255119,0 -54.6281452477039,-20.4801151156554,0 -54.6281009912552,-20.4799474775919,0 -54.6283075213492,-20.4798080027238,0 -54.6294930577342,-20.4811906814704,0 -54.63143497706021,-20.4798629880086,0 -54.63132366538661,-20.4792983830104,0 -54.6316522359911,-20.4794083535805,0 -54.6317420899924,-20.4799528420101,0 -54.6318178623971,-20.479902466772,0 -54.6319526434001,-20.4804460331927,0 -54.63222220540619,-20.4802617989611,0 -54.6326620876846,-20.4808299243581,0 -54.632384479052,-20.481053888811,0 -54.6325588226382,-20.4812563955919,0 -54.6327304840148,-20.4811330139763,0 -54.63296249509479,-20.4813964571935,0 -54.6331033110681,-20.4812776856256,0 -54.63329508901261,-20.4815226048362,0 -54.63346272707611,-20.4814037494493,0 -54.63383555412911,-20.4818947613372,0 -54.6335190534651,-20.4821214079983,0 -54.63375106454541,-20.4824472963936,0 -54.6330731362169,-20.4829160124193,0 -54.6329259499972,-20.4827319458258,0 -54.6327197551792,-20.4828737676277,0 -54.6322356164549,-20.4823064804206,0",ATIVAS,Sem restrição de Venda,MS-549 (CPBA) Secundária
MS-1 (DOCE),175,MS,DOURADOS,DOS,DOCE,PRATA,Sem Restrição de Vendas,1 (DOCE) Secundária,Centro Regional,132,411,411,403,0.3212,5003702,69,1.913043478,"-54.830320668214,-22.2325070355457,0 -54.8304266154698,-22.233477995209,0 -54.8304286271264,-22.2337509099758,0 -54.8305674314427,-22.234014437011,0 -54.83070824741579,-22.2342511419561,0 -54.8307940781041,-22.2345160100958,0 -54.8305365860383,-22.2345616076491,0 -54.8302878111519,-22.233847469499,0 -54.8300846338188,-22.2338293645883,0 -54.8301020681774,-22.2336483154799,0 -54.8297922730362,-22.2336201522853,0 -54.829760086528,-22.2338937376049,0 -54.828946036092,-22.2338132713344,0 -54.8288776397622,-22.2345334444549,0 -54.8285323053516,-22.2345081592487,0 -54.82852694093361,-22.2345559642381,0 -54.8283284574666,-22.2345382508862,0 -54.8283693611541,-22.2341632996109,0 -54.82791070341271,-22.2341197137143,0 -54.8278758346955,-22.2343978252616,0 -54.827414494745,-22.2343497131374,0 -54.82742790578989,-22.2342417542245,0 -54.82642073630799,-22.2341364775174,0 -54.8264044754182,-22.2343626212627,0 -54.82618235498471,-22.2343406606758,0 -54.8261523477718,-22.2346053611773,0 -54.8249777078605,-22.2344690714256,0 -54.8251051127889,-22.233410939967,0 -54.8251802146419,-22.2328516993865,0 -54.8253800392125,-22.2313295457699,0 -54.8256643533683,-22.2313590500688,0 -54.8257032453989,-22.2309915874339,0 -54.82884947657601,-22.2313228402444,0 -54.829714488985,-22.2314140353523,0 -54.830087316034,-22.2314482335272,0 -54.830320668214,-22.2325070355457,0",ATIVAS,Sem restrição de Venda,MS-1 (DOCE) Secundária
